split,class_name,label,image_name,image_path,left_knee_angle,right_knee_angle,avg_knee_angle,left_hip_angle,right_hip_angle,avg_hip_angle,left_torso_lean,right_torso_lean,avg_torso_lean,depth_proxy,avg_heel_foot_dist,knee_angle_diff,hip_angle_diff
train,Bad Back,0,Bad Back (1).jpg,data\Zenodo_Squat_Dataset\train\Bad Back\Bad Back (1).jpg,88.82210799981183,93.32496489415044,91.07353644698114,31.942993815641717,34.00283204606745,32.972912930854584,72.5012571966141,73.68359643313649,73.0924268148753,0.05381143093109131,0.08972370624542236,4.502856894338606,2.059838230425729
train,Bad Back,0,Bad Back (10).jpg,data\Zenodo_Squat_Dataset\train\Bad Back\Bad Back (10).jpg,89.75353986789821,95.12445506385305,92.43899746587563,46.15928875445948,51.769413966550225,48.96435136050485,64.80333328863236,62.050621091229566,63.426977189930966,0.0831294059753418,0.1253676526248455,5.3709151959548365,5.610125212090743
train,Bad Back,0,Bad Back (100).jpg,data\Zenodo_Squat_Dataset\train\Bad Back\Bad Back (100).jpg,95.98189778929245,91.73929301271147,93.86059540100196,61.667138050499894,55.76589763668049,58.716517843590196,52.35339130286296,55.9237912153521,54.13859125910753,0.06217306852340698,0.08578726649284363,4.242604776580976,5.9012404138194015
train,Bad Back,0,Bad Back (101).jpg,data\Zenodo_Squat_Dataset\train\Bad Back\Bad Back (101).jpg,94.63248228925758,90.8945438338952,92.76351306157639,60.55509319640177,56.1583069477169,58.35670007205934,52.58200221778604,55.48176622296745,54.031884220376746,0.06209385395050049,0.08200051262974739,3.7379384553623822,4.396786248684869
train,Bad Back,0,Bad Back (102).jpg,data\Zenodo_Squat_Dataset\train\Bad Back\Bad Back (102).jpg,95.97329955300769,92.73458783983251,94.3539436964201,63.871662780484854,59.63327480105684,61.75246879077085,51.95485084081709,54.423229124944896,53.18903998288099,0.07108521461486816,0.08558743819594383,3.238711713175178,4.238387979428012
train,Bad Back,0,Bad Back (103).jpg,data\Zenodo_Squat_Dataset\train\Bad Back\Bad Back (103).jpg,97.39222427199739,94.35636835126726,95.87429631163232,63.527579146215174,60.1863084677638,61.85694380698949,52.00985178248482,53.79513242190227,52.90249210219355,0.07025974988937378,0.08414870128035545,3.0358559207301283,3.341270678451373
train,Bad Back,0,Bad Back (104).jpg,data\Zenodo_Squat_Dataset\train\Bad Back\Bad Back (104).jpg,90.62152855411023,85.14941751229044,87.88547303320033,64.21306633662256,63.120855356325734,63.66696084647415,40.89466393454264,42.60789434334742,41.75127913894503,0.0437508225440979,0.09403817728161812,5.472111041819787,1.0922109802968265
train,Bad Back,0,Bad Back (105).jpg,data\Zenodo_Squat_Dataset\train\Bad Back\Bad Back (105).jpg,84.45749664437518,82.40441229078075,83.43095446757798,61.749419619239816,61.99494629723496,61.87218295823739,40.09238448856133,40.68788013773908,40.390132313150204,0.0353623628616333,0.09589245542883873,2.0530843535944285,0.24552667799514438
train,Bad Back,0,Bad Back (106).jpg,data\Zenodo_Squat_Dataset\train\Bad Back\Bad Back (106).jpg,82.8716411955336,80.13037397283512,81.50100758418435,60.19136342867444,60.04235618940602,60.116859809040236,39.61272451843813,40.64979939975114,40.13126195909463,0.029108524322509766,0.09573511406779289,2.7412672226984824,0.1490072392684212
train,Bad Back,0,Bad Back (107).jpg,data\Zenodo_Squat_Dataset\train\Bad Back\Bad Back (107).jpg,79.53534195291591,76.90536433260253,78.22035314275922,55.71215340040714,55.081038895433586,55.39659614792036,41.26433690326982,42.86373896019573,42.06403793173278,0.021558701992034912,0.09612694382667542,2.629977620313383,0.6311145049735529
