date,steps,resting_hr_avg,hrv_avg,active_energy,sleep_hours,body_mass_avg
2024-10-21,7182.0,52.0,83.747,181.00300000000004,0.0,
2024-10-22,11231.0,55.0,65.94366666666667,584.7239999999995,5.791666666666667,
2024-10-23,14931.0,,65.624675,494.164,7.958333333333333,
2024-10-24,8370.0,63.0,49.408199999999994,145.51699999999994,0.0,
2024-10-25,20989.0,52.0,56.438019999999995,634.9520000000001,10.308333333333334,
2024-10-26,24143.0,54.0,74.66065,676.2819999999992,7.575,
2024-10-27,11319.0,53.0,78.15916,448.65799999999996,7.358333333333333,
2024-10-28,21289.0,52.0,59.69648333333333,690.9579999999999,7.991666666666666,
2024-10-29,6775.0,58.0,84.50714,381.104,7.216666666666667,
2024-10-30,12288.0,61.0,80.92206000000002,438.0790000000001,4.708333333333333,
2024-10-31,4781.0,62.0,63.68106666666666,270.25299999999993,0.0,
2024-11-01,4280.0,68.0,75.72691666666667,311.8569999999999,7.433333333333334,
2024-11-02,18731.0,62.0,74.1584,571.969,0.0,
2024-11-03,3858.0,,48.8816,335.74600000000015,6.416666666666667,
2024-11-04,18967.0,60.0,51.36036,593.9890000000001,0.0,
2024-11-05,16599.0,61.0,62.81005,601.1310000000001,0.0,
2024-11-06,14487.0,60.0,52.356719999999996,580.873,6.091666666666667,
2024-11-07,9707.0,59.0,88.1629,320.5879999999999,0.0,
2024-11-08,14484.0,59.0,55.924885714285715,668.9369999999997,5.866666666666666,
2024-11-09,11949.0,59.0,60.76576666666667,513.0649999999999,5.775,
2024-11-10,11558.0,76.0,56.4503,138.39300000000003,5.983333333333333,
2024-11-11,21563.0,58.0,71.91951428571429,626.866,8.833333333333334,
2024-11-12,14299.0,60.0,56.18756666666667,554.8869999999997,6.5,
2024-11-13,10089.0,58.0,54.12615,465.77399999999994,8.075,
2024-11-14,9836.0,61.0,51.52545,509.78,6.416666666666667,
2024-11-15,23464.0,59.0,66.02678,703.4130000000002,4.825,
2024-11-16,12760.0,59.0,77.09945714285713,446.31,9.575,
2024-11-17,3983.0,59.0,90.52463333333333,312.37399999999997,11.883333333333333,
2024-11-18,9090.0,54.0,70.36875,435.4679999999997,8.375,
2024-11-19,9950.0,58.0,84.8853,518.8909999999997,6.475,
2024-11-20,7780.0,62.0,55.127199999999995,312.2819999999998,0.0,
2024-11-21,11227.0,59.0,76.0025,538.187,8.4,
2024-11-22,5994.0,,,61.681,0.0,
2024-11-23,8729.0,65.0,94.35300000000001,140.71000000000012,0.0,
2024-11-24,4280.0,58.0,64.68648,404.32400000000007,5.458333333333333,
2024-11-25,3362.0,59.0,47.9243,114.61399999999998,0.0,
2024-11-26,11393.0,54.0,74.13826,548.6970000000001,5.241666666666666,
2024-11-27,17940.0,62.0,45.083557142857146,559.8820000000001,0.0,
2024-11-28,8820.0,54.0,90.40772,436.8500000000002,11.308333333333334,
2024-11-29,6880.0,62.0,88.8723,232.3020000000002,0.0,
2024-11-30,9980.0,57.0,56.16786,425.84300000000053,7.658333333333333,
2024-12-01,11038.0,69.0,36.157000000000004,292.63599999999997,0.0,
2024-12-02,11728.0,59.0,66.01893333333334,487.90100000000007,6.925,
2024-12-03,4084.0,54.0,79.801,135.22400000000002,0.9583333333333334,
2024-12-04,11153.0,57.0,88.29946666666666,524.7220000000004,6.05,
2024-12-05,23941.0,55.0,74.72891666666666,773.2500000000001,8.425,
2024-12-06,21639.0,62.0,50.28356000000001,670.2479999999994,0.0,
2024-12-07,14938.0,64.0,82.6409,589.2440000000001,10.141666666666667,
2024-12-08,9929.0,63.0,83.83214,424.95699999999965,0.0,
2024-12-09,7167.0,55.0,101.59348000000001,362.409,8.566666666666666,
2024-12-10,8805.0,62.0,58.53636666666667,379.4270000000002,7.15,
2024-12-11,11011.0,59.0,70.04029999999999,514.9130000000001,6.475,
2024-12-12,9626.0,58.0,68.659075,369.72599999999983,2.95,
2024-12-13,15012.0,55.0,51.85995,514.4289999999999,6.5,
2024-12-14,9681.0,60.0,71.254975,387.51299999999964,0.0,
2024-12-15,847.0,,48.2346,16.491999999999997,0.0,
2024-12-16,2047.0,56.0,62.78926,107.58500000000004,11.15,
2024-12-17,1547.0,,,41.223,0.0,
2024-12-18,14100.0,60.5,75.61518,342.70599999999996,5.108333333333333,
2024-12-19,20638.0,60.0,48.73445,601.2059999999997,4.625,
2024-12-20,19593.0,68.0,110.0999,697.4359999999998,6.283333333333333,
2024-12-21,12323.0,55.0,60.454800000000006,337.402,6.7,
2024-12-22,15515.0,62.0,96.55235,399.3639999999997,7.45,
2024-12-23,18549.0,57.0,63.04478333333333,437.7229999999997,6.483333333333333,
2024-12-24,30033.0,57.0,59.4914,790.0370000000006,5.283333333333333,
2024-12-25,13258.0,,87.91788333333334,375.9799999999999,6.658333333333333,
2024-12-26,5326.0,57.0,95.48894,556.722,5.7,
2024-12-27,3447.0,59.0,68.3005,280.6000000000001,7.266666666666667,
2024-12-28,8076.0,56.0,61.238049999999994,282.0569999999999,7.525,
2024-12-29,1848.0,57.0,96.67054999999999,192.77100000000004,8.483333333333333,
2024-12-30,1695.0,62.0,73.10508333333334,184.33800000000002,6.358333333333333,
2024-12-31,6440.0,,87.169,69.987,0.0,
2025-01-01,3366.0,58.0,64.32825,232.36200000000014,0.0,
2025-01-02,2417.0,56.0,64.03542,514.7270000000001,8.141666666666667,
2025-01-03,7029.0,62.0,62.13204285714287,414.97699999999986,4.466666666666667,
2025-01-04,6859.0,57.0,102.3513,292.41700000000003,10.466666666666667,
2025-01-05,16558.0,67.0,51.66942,520.4829999999998,1.3666666666666667,
2025-01-06,15115.0,63.0,61.58327499999999,529.4839999999997,5.575,
2025-01-07,18770.0,68.0,59.5784,549.8680000000003,0.0,
2025-01-08,26925.0,61.0,64.15141666666666,1048.3970000000002,6.333333333333333,
2025-01-09,27176.0,62.0,74.22198,808.1879999999994,7.975,
2025-01-10,17166.0,60.0,76.441625,623.2919999999998,0.0,
2025-01-11,15476.0,61.0,57.563014285714296,523.3389999999998,6.75,
2025-01-12,5793.0,63.0,70.21108333333333,369.50400000000013,6.625,
2025-01-13,29530.0,61.0,76.17158,896.626,6.125,
