Age,Gender,Weight (kg),Height (m),Max_BPM,Avg_BPM,Resting_BPM,Session_Duration (hours),Calories_Burned,Workout_Type,Fat_Percentage,Water_Intake (liters),Workout_Frequency (days/week),Experience_Level,BMI
56,Female,79.78353277034076,1.638811988195308,168.8,98.05410033192454,64.46711133076612,0.5205844942958024,147.79660821707088,Yoga,34.07257882897353,0.5057260206854743,3,Beginner,29.70674020875665
39,Male,49.12623251230451,1.6575917162252896,180.7,115.39463458874658,68.31313741227709,0.9560699842170359,114.91419740245772,Yoga,21.822203452873488,0.9825808040818259,2,Intermediate,17.87962163100454
38,Male,70.62459375310085,1.6899361310081196,181.4,86.98220448728839,66.9595083257862,0.6733646535077721,109.93339310668539,Yoga,34.24812793955303,0.7496260647683826,4,Intermediate,24.729502534156175
46,Male,72.35571507111362,1.6106583059127297,175.8,110.99349462398885,72.60267831584858,1.2272719958564209,457.09365173374977,Strength,34.88892780452607,1.642139051552191,4,Beginner,27.891123380121662
41,Female,81.28653158396465,1.759641647903026,179.3,101.4210358197021,69.24636838413912,1.2901755405312056,417.416735506117,Yoga,32.2263273835035,1.3620553902592782,5,Beginner,26.25246741311843
50,Female,97.03411928148589,1.8664768645504524,173.0,116.35345407938239,63.62830499637989,1.3872127425763265,593.3236097008461,Strength,37.91046203805904,1.855595291800376,4,Intermediate,27.853466066173848
56,Male,87.32853756562835,1.4880254895910254,168.8,126.3222402769884,67.95146723433179,0.8143559810763267,672.9685512484386,Cardio,42.84267925919668,1.0664741433196794,5,Beginner,39.439867393033076
49,Male,62.87259595660218,1.8243711283771227,173.7,132.66885157087017,60.99472886924639,1.1334037565104236,403.08692402319144,Strength,21.740293716649184,1.7764559153440809,5,Advanced,18.89013279665243
50,Male,53.04727577801822,1.7107891846867842,173.0,81.08048158355783,65.88908513631678,0.917411003148779,111.4675641284354,Yoga,21.251420556475836,0.9297869136161916,1,Advanced,18.124669401274193
58,Female,78.86325586084146,1.5477685066804265,167.4,82.78349586352334,66.7766622527015,0.8008783098167697,147.11097716947734,Yoga,38.927177729788816,0.8495367194131349,2,Advanced,32.920217186776824
19,Male,74.8892977508314,1.7839820964186643,194.7,137.43050413576648,68.35702655023142,1.2282163486118596,842.3532372834894,Cardio,34.80846227102099,1.5792608907090686,4,Beginner,23.530912827992548
46,Male,100.59907430517693,1.6933702270397228,175.8,91.52608531192818,73.12076824690614,0.726495775197938,184.95950646164627,Yoga,39.749202428772215,0.730048486388548,3,Beginner,35.08246858815077
40,Male,83.34182697800948,1.7143254974231805,180.0,122.24054760087783,70.03910169929965,0.7418522909004517,606.9948290517939,Cardio,36.37513517163926,0.7446452366293626,2,Intermediate,28.35805546358944
33,Male,70.71766048520504,1.6179543386915725,184.9,95.73740827282407,67.19587740653785,1.4356349942209476,358.68893420568713,Yoga,29.461137345693423,1.4115221693221907,4,Advanced,27.014402280892075
19,Female,74.7642759022133,1.765065904348328,194.7,90.95977516044637,66.74646172600822,1.2209399242521293,313.6247827083324,Yoga,29.238340336694538,1.3196048881044418,4,Beginner,23.997846987769076
55,Male,88.65768327742002,1.6001704362628069,169.5,115.87804564921129,65.41082392693782,1.1451033620305648,535.8777082362408,Strength,45.98898297704084,1.645363430353187,5,Intermediate,34.624530542870986
34,Female,85.71000741138138,1.7276537214674148,184.2,84.60767249016496,68.91971287372064,1.4803315837160458,321.2364326450385,Yoga,32.01817555867046,0.9021460084510635,5,Beginner,28.715615707958776
59,Male,57.784200407625,1.7231981648157129,166.7,122.2285211552323,76.16880848443978,0.8225507642386005,221.1748821245026,Strength,21.350945401333796,0.8456717847730028,2,Beginner,19.45981293850278
42,Female,88.0787098321859,1.7523931814465836,178.6,89.79319315890466,63.832165306676146,0.8379951568515358,157.57345972829785,Yoga,34.66389590937399,1.3115483630935658,5,Intermediate,28.68189457601252
39,Female,68.8085758021484,1.563273480740825,180.7,141.63073385039812,72.28693095541297,1.0222432600548044,543.7375158866988,Cardio,33.924047089992335,1.5134444565263647,3,Beginner,28.156109641900745
52,Male,67.70674071370314,1.7392805524838875,171.6,117.86803717741228,67.68454276672973,1.4152137276264805,433.17647073299764,Strength,28.591703940777958,2.234072529175267,2,Intermediate,22.38167711290121
22,Female,57.24640248083193,1.7726848821980787,192.6,106.81066265128342,68.1869112966913,0.5917990658134419,165.20249163345744,Strength,28.200152213511366,0.5735864549323535,5,Beginner,18.2173464521973
